"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"topB_4",279.779311285872,1.6515426478234,0.13818080343012,11.9520411433895,6.33499541623073e-33,1.47785732483747e-32
"lacR_3",679.704863343336,1.64022847385974,0.102755288738703,15.9624725305448,2.33302788719603e-57,7.15581298222507e-57
"tkt",86098.3632289094,1.62920822443897,0.0604020520092823,26.9727297375362,3.08808947776858e-160,1.95050078477241e-159
"thiY",1386.83392847048,1.61503604388408,0.0829251134847665,19.4758376083593,1.76021746524092e-84,6.97972086713396e-84
"vanX_1",1138.19703738447,1.59836208933043,0.103548943523902,15.4358126209321,9.4008852708591e-54,2.78196567830238e-53
"yckB",2111.36501154568,1.59615760700331,0.092334606992424,17.2866670362747,5.9282372023144e-67,2.0156006487869e-66
"algC",4387.00349962649,1.59400913134286,0.0673320275397113,23.6738620473406,6.70423960406239e-124,3.53576728953522e-123
"nnrD",1463.65162750422,1.59249781861339,0.0933307362850503,17.0629514134507,2.80041879792052e-65,9.36206953781796e-65
"pox5",3654.62540446692,1.5870243603015,0.0665453155049143,23.8487765556435,1.04267571959653e-125,5.61008686840153e-125
"phoR_4",7233.63241355834,1.5860027782589,0.0582854379699367,27.2109609792577,4.81826644060667e-163,3.07983590883578e-162
"ccpB",641.701960706531,1.57909013679955,0.106629594701507,14.8091169362499,1.27909663780446e-49,3.61769279152483e-49
"thiT",1886.43541877903,1.56921409620778,0.111554226590705,14.0668278035333,6.07331661678074e-45,1.62022703733149e-44
"mshD_1",2267.47823111135,1.55705035252093,0.0757625263551428,20.5517216416746,7.42815665591174e-94,3.15696657876249e-93
"hchA",2517.07134748524,1.54804370438256,0.073655292182226,21.0174131215533,4.54541104678028e-98,1.99001831582326e-97
"pphA",2736.63550285441,1.54393169351943,0.0665021413088047,23.2162703806804,3.11905290742394e-119,1.58733966435142e-118
"nrdR",2807.24080550255,1.53674065692931,0.0630505821211998,24.3731398700696,3.29604818646946e-131,1.82252076193017e-130
"yhaX",2839.85114548229,1.53362252927862,0.0781695269137146,19.6191865273979,1.06036398360891e-85,4.2681653546777e-85
"pyrDB",1549.26354733493,1.52625063674834,0.0977343649945758,15.6163150682264,5.63707353688049e-55,1.68374645082898e-54
"ligA_2",840.95163340092,1.52179948762179,0.0953157523532089,15.9658760493491,2.20917915359875e-57,6.78897747586692e-57
"frlB_2",460.447111102844,1.52065952561821,0.124794644633474,12.1852947302702,3.72304935523387e-34,8.82705173540613e-34
"ssb_3",972.612422283461,1.52024487309025,0.105825138299976,14.3656308653328,8.50288944285183e-47,2.30689598126948e-46
"glcR_2",176.374530394652,1.51968732193675,0.174685562633389,8.69955879024819,3.33177012485886e-18,6.24169831128307e-18
"pyrK_2",860.000273762316,1.51166057961794,0.145879986166044,10.3623575745156,3.67783242410095e-25,7.7331265969912e-25
"mecA",13799.9960385539,1.50114119549616,0.0657447486273537,22.8328684318917,2.16288679732316e-115,1.08688462330893e-114
"cpdA_2",4687.81688547949,1.49158047234129,0.0600845908745866,24.8246755221258,4.85529380896528e-136,2.79092068587285e-135
"glpO",110.201034533277,1.48217983153099,0.248907178388578,5.95474924076759,2.60470892601896e-09,4.04109210075563e-09
"ohrA",335.533574048661,1.47772443197117,0.137438057113443,10.7519304551245,5.80341134958676e-27,1.25832446901488e-26
